Commune,Surface parcourue (m2)
Afa,1
Aghione,21000
Ajaccio,102030
Alando,9200
Alata,2500
Albertacce,210
Aléria,33400
Ambiegna,100
Ampriani,10000
Antisanti,1000
Appietto,125107
Arbori,500
Aregno,200
Azzana,10
Balogna,101
Bastelica,67805
Bastelicaccia,400
Bocognano,507
Bonifacio,280
Brando,1500
Bustanico,10
Cagnano,2510
Calcatoggio,120
Calenzana,900
Calvi,3100
Cambia,50000
Canari,4000
Carbuccia,400
Carcheto-Brustico,250000
Cargèse,30
Casaglione,125
Casamaccioli,15000
Castellare-di-Casinca,300
Castellare-di-Mercurio,150
Castello-di-Rostino,322650
Castirla,2000
Cateri,10000
Cauro,300
Coggia,14776
Cognocoli-Monticchi,20
Corscia,300
Corte,31497
Coti-Chiavari,100
Cozzano,100
Cuttoli-Corticchiato,2118
Favalello,48740
Feliceto,234500
Ficaja,500
Figari,230
Fozzano,200
Furiani,10050
Ghisonaccia,32000
Ghisoni,150
Grosseto-Prugna,10
Lavatoggio,1550
Lecci,3641
Lento,3000
Levie,250
Linguizzetta,33860
Loreto-di-Casinca,52500
Marignana,60
Matra,500
Mausoléo,5
Montegrosso,1853200
Murato,3000
Muro,14110
Ocana,1
Oletta,46500
Olivese,31500
Olmeta-di-Tuda,3459400
Olmeto,1095
Olmi-Cappella,15020
Olmo,200000
Ortiporio,800
Osani,1
Ota,160
Palneca,150
Penta-di-Casinca,200
Peri,11326
Petreto-Bicchisano,40
Piana,21591
Piano,300
Piedicorte-di-Gaggio,2000
Pietracorbara,751300
Pietrosella,1
Pietroso,120
Piève,50000
Pigna,3000
Poggio-di-Venaco,15385
Poggio-d'Oletta,15000
Poggio-Mezzana,196800
Porto-Vecchio,1532
Quenza,31899000
Quercitello,30
Rapale,31200
Rezza,40
Rutali,60210
Sainte-Lucie-de-Tallano,400
Saliceto,1
San-Gavino-di-Carbini,3031
San-Giuliano,500
Santa-Lucia-di-Mercurio,1200
Santa-Lucia-di-Moriani,3000
Santa-Maria-Siché,100
Sant'Andréa-di-Bozio,41300
Sant'Antonino,30
Santo-Pietro-di-Tenda,7000
Santo-Pietro-di-Venaco,110000
Sarrola-Carcopino,2
Sartène,151
Scolca,1000
Sermano,121520
Serra-di-Ferro,51
Serriera,380
Sisco,10000
Sollacaro,35000
Sorbo-Ocagnano,22900
Sotta,481
Soveria,50
Speloncato,1000
Taglio-Isolaccio,1000
Tasso,4501
Tavaco,70001
Tralonca,22500
Ucciani,10000
Vallecalle,3000
Vallica,30
Venaco,34000
Ventiseri,5
Vero,3
Vescovato,20000
Vico,26105
Vignale,500
Ville-di-Paraso,2500
Vivario,8100
Volpajola,10100
Zalana,50000
Zicavo,1
Zilia,4000
Zonza,267
