Commune,Essence,Surface boisée (%)

Zicavo,Hêtre,97.0

Ghisoni,Pin laricio de Corse,93.0
Ghisoni,Sapin pectiné,2.0
Ghisoni,Hêtre,21.0

Corte,Pin laricio de Corse,92.0


Saliceto,Arbousier,9.0
Saliceto,Pin maritime,89.0

Porto-Vecchio,Pin laricio de Corse,9.0
Porto-Vecchio,Pin maritime,61.0
Porto-Vecchio,Chêne vert,8.0
Porto-Vecchio,Chêne liège,1.0


San-Gavino-di-Carbini,Pin maritime,61.0
San-Gavino-di-Carbini,Sapin pectiné,3.0
San-Gavino-di-Carbini,Pin laricio de Corse,64.0


Zonza,Pin maritime,61.0
Zonza,Sapin pectiné,3.0
Zonza,Pin laricio de Corse,64.0




Palneca,Hêtre,54.0
Palneca,Bouleau verruqueux,5.0
Palneca,Sapin pectiné,2.0

